Costo1,Costo2,Topico,Quincena,TipoProducto,Conversion
0.341,0.299,2,7,1,Si
0.151,0.079,2,8,1,Si
0.384,0.324,4,9,1,Si
0.2,0.192,4,9,1,Si
0.415,0.02,2,8,1,Si
0.472,0.315,2,7,1,Si
0.106,0.296,2,8,1,Si
0.209,0.113,2,10,1,Si
0.467,0.159,3,9,1,Si
0.046,0.016,4,8,1,Si
0.36,0.158,3,6,1,Si
0.199,0.228,3,9,1,Si
0.24,0.328,3,7,1,Si
0.21,0.161,3,8,1,Si
0.122,0.322,2,8,1,Si
0.123,0.168,3,9,1,Si
0.312,0.124,3,7,1,Si
0.05,0.322,2,9,1,Si
0.166,0.203,3,7,1,Si
0.141,0.236,4,9,1,Si
0.184,0.235,4,8,1,Si
0.058,0.228,4,9,1,Si
0.23,0.171,2,7,1,Si
0.342,0.272,3,7,1,Si
0.46,0.303,2,7,1,Si
0.259,0.079,3,9,1,Si
0.301,0.305,3,7,1,Si
0.054,0.232,4,8,1,Si
0.375,0.069,3,6,1,Si
0.12,0.167,4,7,1,Si
0.387,0.065,2,9,1,Si
0.348,0.249,3,7,1,Si
0.08,0.238,2,6,1,Si
0.178,0.08,3,10,1,Si
0.163,0.183,3,9,1,Si
0.457,0.068,2,7,1,Si
0.035,0.066,3,8,1,Si
0.446,0.204,2,7,1,Si
0.461,0.11,4,8,1,Si
0.31,0.208,3,9,1,Si
0.04,0.241,4,10,1,Si
0.01,0.044,3,7,1,Si
0.245,0.303,2,7,1,Si
0.409,0.146,2,10,1,Si
0.094,0.115,3,7,1,Si
0.192,0.114,3,7,1,Si
0.399,0.075,2,9,1,Si
0.062,0.311,3,10,1,Si
0.231,0.145,4,7,1,Si
0.176,0.21,4,7,1,Si
0.306,0.065,3,6,1,Si
0.146,0.278,4,8,1,Si
0.421,0.266,4,7,1,Si
0.021,0.222,4,7,1,Si
0.351,0.211,2,7,1,Si
0.252,0.296,4,9,1,Si
0.174,0.144,3,8,1,Si
0.423,0.281,2,8,1,Si
0.278,0.145,2,10,1,Si
0.006,0.221,3,9,1,Si
0.295,0.172,2,7,1,Si
0.015,0.284,3,7,1,Si
0.477,0.243,3,8,1,Si
0.076,0.034,3,9,1,Si
0.39,0.116,3,8,1,Si
0.48,0.299,3,10,1,Si
0.011,0.234,2,8,1,Si
0.164,0.07,3,7,1,Si
0.023,0.125,3,8,1,Si
0.046,0.025,4,7,1,Si
0.429,0.124,4,9,1,Si
0.424,0.077,3,6,1,Si
0.435,0.331,2,9,1,Si
0.076,0.263,4,6,1,Si
0.151,0.098,3,10,1,Si
0.372,0.013,4,7,1,Si
0.179,0.165,4,7,1,Si
0.308,0.03,2,9,1,Si
0.257,0.169,4,7,1,Si
0.06,0.254,3,8,1,Si
0.226,0.092,3,8,1,Si
0.067,0.037,3,7,1,Si
0.34,0.12,3,8,1,Si
0.238,0.213,3,8,1,Si
0.476,0.14,4,8,1,Si
0.498,0.094,4,6,1,Si
0.441,0.229,3,8,1,Si
0.413,0.251,3,7,1,Si
0.092,0.193,3,7,1,Si
0.13,0.298,4,8,1,Si
0.211,0.273,3,9,1,Si
0.261,0.296,3,7,1,Si
0.33,0.215,3,10,1,Si
0.089,0.174,3,9,1,Si
0.451,0.169,4,7,1,Si
0.055,0.113,2,9,1,Si
0.167,0.273,2,7,1,Si
0.066,0.122,4,8,1,Si
0.145,0.147,3,6,1,Si
0.23,0.208,3,6,1,Si
0.457,0.09,4,8,1,Si
0.04,0.306,3,8,1,Si
0.165,0.014,3,9,1,Si
0.494,0.192,3,9,1,Si
0.025,0.301,2,8,1,Si
0.458,0.098,2,10,1,Si
0.317,0.033,3,7,1,Si
0.164,0.242,4,7,1,Si
0.223,0.196,2,6,1,Si
0.099,0.054,3,6,1,Si
0.018,0.098,2,6,1,Si
0.13,0.218,3,7,1,Si
0.376,0.115,2,8,1,Si
0.3,0.022,3,9,1,Si
0.405,0.214,4,9,1,Si
0.421,0.212,3,8,1,Si
0.02,0.111,3,7,1,Si
0.432,0.304,2,9,1,Si
0.428,0.132,4,8,1,Si
0.037,0.109,2,6,1,Si
0.003,0.18,4,9,1,Si
0.267,0.146,3,6,1,Si
0.336,0.176,2,7,1,Si
0.023,0.072,3,8,1,Si
0.295,0.102,4,7,1,Si
0.353,0.279,4,10,1,Si
0.163,0.224,3,7,1,Si
0.287,0.217,3,7,1,Si
0.28,0.102,4,9,1,Si
0.355,0.316,3,7,1,Si
0.029,0.224,2,6,1,Si
0.164,0.037,2,9,1,Si
0.205,0.288,2,6,1,Si
0.137,0.206,3,6,1,Si
0.231,0.174,3,7,1,Si
0.112,0.188,3,6,1,Si
0.191,0.046,2,6,1,Si
0.137,0.211,2,7,1,Si
0.308,0.05,3,10,1,Si
0.218,0.13,3,9,1,Si
0.128,0.14,4,10,1,Si
0.316,0.125,3,10,1,Si
0.113,0.105,3,6,1,Si
0.129,0.298,3,7,1,Si
0.429,0.198,3,9,1,Si
0.062,0.254,4,9,1,Si
0.04,0.152,3,8,1,Si
0.455,0.288,4,6,1,Si
0.259,0.244,2,6,1,Si
0.353,0.061,2,7,1,Si
0.273,0.277,4,10,1,Si
0.345,0.089,3,9,1,Si
0.026,0.181,2,10,1,Si
0.323,0.089,3,8,1,Si
0.078,0.26,2,9,1,Si
0.196,0.062,3,8,1,Si
0.037,0.178,3,7,1,Si
0.08,0.29,3,8,1,Si
0.177,0.127,2,7,1,Si
0.16,0.1,4,8,1,Si
0.071,0.033,4,6,1,Si
0.486,0.305,3,7,1,Si
0.4,0.329,3,7,1,Si
0.114,0.056,2,7,1,Si
0.297,0.309,3,9,1,Si
0.014,0.062,2,7,1,Si
0.223,0.041,3,9,1,Si
0.153,0.034,3,6,1,Si
0.391,0.054,3,6,1,Si
0.112,0.044,3,8,1,Si
0.437,0.286,2,9,1,Si
0.344,0.183,4,6,1,Si
0.237,0.278,3,8,1,Si
0.042,0.289,4,8,1,Si
0.268,0.209,2,8,1,Si
0.16,0.234,4,9,1,Si
0.398,0.297,3,6,1,Si
0.174,0.206,3,8,1,Si
0.123,0.216,3,8,1,Si
0.27,0.149,4,10,1,Si
0.152,0.114,3,10,1,Si
0.031,0.032,3,9,1,Si
0.289,0.069,3,10,1,Si
0.215,0.121,3,8,1,Si
0.173,0.302,4,8,1,Si
0.057,0.285,3,9,1,Si
0.336,0.204,3,10,1,Si
0.247,0.319,2,8,1,Si
0.085,0.31,4,9,1,Si
0.247,0.135,3,8,1,Si
0.187,0.108,4,6,1,Si
0.316,0.219,3,7,1,Si
0.223,0.211,3,8,1,Si
0.186,0.289,3,8,1,Si
0.112,0.116,3,9,1,Si
0.261,0.006,3,7,1,Si
0.181,0.188,2,6,1,Si
0.394,0.321,2,9,1,Si
0.435,0.159,2,7,1,Si
0.27,0.152,4,9,1,Si
0.157,0.308,4,9,1,Si
0.492,0.043,3,8,1,Si
0.481,0.325,4,7,1,Si
0.096,0.057,2,6,1,Si
0.234,0.329,4,9,1,Si
0.041,0.188,2,9,1,Si
0.056,0.137,2,6,1,Si
0.107,0.086,2,9,1,Si
0.308,0.145,3,8,1,Si
0.074,0.271,3,9,1,Si
0.358,0.169,3,9,1,Si
0.307,0.183,4,7,1,Si
0.341,0.183,4,8,1,Si
0.065,0.216,3,8,1,Si
0.094,0.052,2,8,1,Si
0.069,0.149,3,6,1,Si
0.027,0.161,3,7,1,Si
0.299,0.279,3,8,1,Si
0.366,0.027,2,7,1,Si
0.022,0.277,3,10,1,Si
0.204,0.192,3,9,1,Si
0.048,0.066,4,10,1,Si
0.147,0.327,3,9,1,Si
0.475,0.131,3,9,1,Si
0.484,0.215,2,7,1,Si
0.373,0.177,4,9,1,Si
0.096,0.174,3,9,1,Si
0.157,0.028,3,10,1,Si
0.053,0.102,3,7,1,Si
0.154,0.202,2,9,1,Si
0.305,0.014,3,9,1,Si
0.397,0.267,3,9,1,Si
0.098,0.23,4,6,1,Si
0.421,0.005,4,7,1,Si
0.372,0.18,2,10,1,Si
0.104,0.333,3,9,1,Si
0.208,0.193,4,8,1,Si
0.064,0.248,2,8,1,Si
0.362,0.037,3,6,1,Si
0.448,0.128,2,9,1,Si
0.268,0.153,3,9,1,Si
0.336,0.31,3,8,1,Si
0.007,0.053,3,7,1,Si
0.228,0.316,2,7,1,Si
